player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Mario Lemina,18,Southampton,31," D(C),M(C)  ",18(3),1616,1,0.6,38.6,86,0.1,2.1,0,6.85,1,5,0,1.2,1.4,0,1.1,1.1,0,1.5,1.2,2.3,2,1.5,0,1.4,0.9,0.1,0
Jonny,161,Wolves,31," D(CLR),M(LR)  ",32(1),2780,1,0.9,32.6,77.8,0.3,1,0,6.85,1,6,0,0.8,1.2,1,0.9,1,0.2,1.2,1.2,2.4,1.8,0.7,0.2,1.6,0.9,0.2,0
James Tomkins,162,Crystal Palace,36, D(CR)  ,29,2563,1,0.2,38.3,83,0,4.3,0,6.85,1,6,0,0.8,3.1,0,0.1,0.4,0,0.1,0.3,1.2,1.2,0.6,0.6,6.2,0.4,0.3,0
Ruben Loftus-Cheek,15,Chelsea,29, M(CLR)  ,6(18),985,2,0.7,25.4,87.9,0,0.5,0,6.85,6,0,0,1.2,0.9,1,1.7,1,0.1,1,1,0.8,0.5,0.4,0,0.2,0.4,0.2,0
Gerard Deulofeu,27,Watford,31," AM(CLR),FW  ",26(4),2083,5,1,23.9,77.4,0.2,0.5,0.1,6.84,10,3,0,2,0.1,3,1.6,0.4,1.1,2,2.2,0.4,0.5,0.5,0,0.1,0.7,0,0
Romelu Lukaku,32,Man Utd,31," AM(R),FW  ",22(10),2130,0,0.7,16.7,66.3,0.2,0.4,0.1,6.84,12,4,0,1.7,2.9,2,0.7,0.1,0.7,1.4,1.6,0.3,0.1,0.6,0,0.6,0.3,0,0
Danny Rose,30,Tottenham,34," D(L),M(L)  ",20(6),1798,3,1,35.7,73.7,0.8,1,0,6.84,0,5,0,0.6,1,1,1.3,1.8,0,0.7,1.9,1.9,0.9,1,0.2,0.8,0.5,0.2,0
Marko Arnautovic,29,West Ham,35," AM(CLR),FW  ",24(4),2001,4,1.3,22.9,74.7,0.2,0.4,0.1,6.84,10,3,0,2.2,0.9,2,0.7,0.4,0.8,1.1,1.7,0.3,0.1,1.1,0,0.2,0.2,0.1,0
Toby Alderweireld,30,Tottenham,36, D(CR)  ,33(1),2924,0,0.2,69.4,88.5,0.1,7.1,0.1,6.84,0,3,0,0.6,1.6,0,0,0,0,0,0.2,1.1,0.7,0.3,0.6,4.9,0.3,0.6,1
David Brooks,183,Bournemouth,27, AM(CR)  ,29(1),2278,5,1,28.5,73.1,0.3,0.7,0.2,6.83,7,3,0,1.4,0.2,1,0.8,1.5,0.1,1.4,1.9,1.2,0.8,0.5,0,0.8,0.8,0.2,0
Danny Ings,18,Southampton,32," AM(C),FW  ",23(1),1668,3,1.2,16.3,71.4,0,0.5,0.2,6.83,7,1,0,2.3,0.8,0,0.8,0.9,0.3,1.2,2.3,1.3,0.2,0.7,0,0.3,0.7,0.1,0
Davinson Sánchez,30,Tottenham,28, D(C)  ,22(1),1943,1,0.2,62.6,89.9,0,2.7,0,6.83,1,2,0,0.6,2.9,0,0,0.4,0,0.1,0.3,1.6,1.3,0.9,1.1,4.4,0.7,0.4,0
Callum Paterson,188,Cardiff,30," D(R),M(CR),FW  ",21(6),1996,1,0.9,20.4,48.4,0.2,0.5,0,6.82,4,4,0,1.5,7.5,1,0.2,1.1,0.4,0.4,1.1,0.8,0.3,1.5,0,1,0.8,0.1,0
Calum Chambers,170,Fulham,30," D(CR),DMC  ",29(2),2587,0,0.5,47.9,79,0,2.9,0,6.82,2,9,0,1.1,2.1,0,0.7,0.1,0,0.8,1,2.1,2.2,1.1,0.3,3.5,1,0.4,0
Sokratis Papastathopoulos,13,Arsenal,36, D(CR)  ,25,2199,2,0.2,55.5,89.4,0,4.1,0,6.82,1,12,0,0.4,2.2,0,0.2,1,0,0.2,0.3,1.7,1,1.5,0.7,4.3,0.5,0.7,0
James McArthur,162,Crystal Palace,37, M(CLR)  ,36(2),3072,6,0.8,36.8,79.3,0.1,1.7,0.1,6.80,3,7,0,0.9,1.3,1,0.5,1,0.1,0.9,1.4,2.2,1,1.6,0.1,1.2,1.3,0.6,0
Jamaal Lascelles,23,Newcastle,31, D(C)  ,32,2748,1,0.1,34.5,76.7,0,2.3,0,6.80,0,4,0,0.3,2.9,0,0,0.3,0,0.2,0.3,1,1.2,0.5,0.5,6.6,0.1,0.9,0
Ashley Westwood,184,Burnley,35, DMC  ,31(3),2822,7,1.2,41.7,76.4,0.9,3,0.1,6.80,2,5,0,0.6,0.6,1,0.2,0.6,0,0.5,0.9,1.7,1.4,0.9,0,1.2,0.7,0.3,0
Solly March,211,Brighton,30, M(CLR)  ,30(5),2475,5,1.2,21.6,70.6,1.3,0.9,0,6.79,1,1,0,1.2,0.5,0,1.4,0.9,0.2,1.2,1.3,1.6,0.8,0.8,0,0.7,0.7,0.1,0
Alisson Becker,26,Liverpool,32, GK  ,38,3420,0,0,28.3,80.3,0,4.8,0,6.79,0,1,0,0,0.3,0,0.1,0,0,0,0,0.1,0,0,0,0.8,0,0,0
Chris Smalling,32,Man Utd,35, D(CR)  ,24,2128,0,0.1,39.8,86.2,0,2.1,0,6.79,1,1,0,0.5,4.3,1,0,0.3,0.1,0,0.3,1.3,1.1,0.9,0.5,4.4,0.3,1,1
Antonio Rüdiger,15,Chelsea,32, D(CLR)  ,33,2874,0,0.2,76.9,91.5,0,4.5,0.1,6.78,1,7,0,0.8,2.5,0,0.1,0.5,0,0.3,0.2,1,1,0.8,0.6,2.9,0.4,0.2,0
Robert Snodgrass,29,West Ham,37, M(CLR)  ,25(8),2224,5,1.8,29.4,82.1,1.8,0.8,0.1,6.78,2,10,0,0.9,0.8,3,1,1.5,0.1,1.3,1.8,1.3,0.3,1.1,0.1,0.5,1,0.1,0
Mesut Özil,13,Arsenal,36, M(CLR)  ,20(4),1742,2,1.9,46.6,88.6,0.8,1.2,0.1,6.78,5,2,0,0.5,0.2,2,0.9,0.9,0.4,1.4,2,0.5,0.2,0.4,0,0.2,0.8,0.1,0
