,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
137,Keane Lewis-Potter,189,Brentford,24," D(L),M(CLR),FW  ",25(2),2194,2,0.7,26.7,81.6,0.7,1.5,0.1,6.70,1,4,0,0.9,0.7,0,1,0.7,0.1,0.6,1.3,1.3,0.4,0.4,0.2,1.5,0.4,0.3,0
138,Sasa Lukic,170,Fulham,28, M(C)  ,21(1),1748,2,1,41.5,90.8,0.8,1.5,0,6.70,0,10,0,0.5,0.8,1,0.3,1,0,0.3,0.7,2.5,1,2.2,0,1,1.2,0.3,0
139,Facundo Buonanotte,14,Leicester,20, AM(CR)  ,13(10),1275,2,1,19,78.5,0.7,0.7,0.2,6.70,4,7,0,1.2,0.5,2,1,1.3,0.1,1.3,1.9,1.9,0.4,1.3,0,0.3,1.8,0.3,0
140,Nick Pope,23,Newcastle,32, GK  ,17,1530,0,0,22.5,63.7,0,3.1,0,6.69,0,2,0,0,0.5,1,0,0.1,0,0.1,0,0,0.1,0,0,2,0,0,0
141,Sepp van den Berg,189,Brentford,23," D(CR),M(R)  ",20(1),1761,0,0.2,37.9,84.7,0.1,1,0,6.68,0,1,0,0.6,3.1,0,0.2,0.2,0,0.2,0.5,1.3,0.7,0.7,0.3,4.2,0.4,1.3,0
142,Pedro Neto,15,Chelsea,24," AM(CLR),FW  ",14(10),1351,4,1.1,18.4,86.9,0.8,0.6,0,6.68,3,6,0,1.4,0.3,2,1,0.8,0.1,0.7,1.3,0.6,0.3,0.6,0,0,0.4,0,0
143,Matthijs de Ligt,32,Man Utd,25, D(C)  ,21(4),1823,0,0.2,48.5,91.1,0.1,1,0,6.68,2,3,0,0.6,1.9,1,0.1,0.4,0.1,0.1,0.1,0.9,1.2,0.6,0.3,2.7,0.3,0.8,0
144,Harry Wilson,170,Fulham,27, AM(CLR)  ,8(11),836,1,0.9,15.8,78.7,0.5,0.6,0,6.67,5,2,0,1.5,0.2,2,0.5,0.8,0,0.2,0.7,0.5,0.3,0.5,0.1,0.3,0.3,0.1,0
145,Levi Colwill,15,Chelsea,22, D(CL)  ,25,2250,1,0.5,77.4,90.2,0.1,2.5,0,6.66,1,6,0,0.4,2.3,0,0.1,0.7,0.1,0.2,0.4,1.3,1,1,0.7,3.1,0.3,0.8,0
146,Sander Berge,170,Fulham,27, M(C)  ,16(4),1467,0,0.8,38.5,90.8,0,2.2,0.1,6.66,0,4,0,0.1,1.1,0,0.4,0.2,0,0.5,0.2,2,0.9,1.1,0,1.3,0.4,0.4,0
