team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg
Manchester City,38,28,7,3,96,34,+62,91,96,18.2,52,2,65.4,90.5,8.7,6.97,7.7,13.6,6.1,7.6,1.1,7.3,9.9,10.8
Arsenal,38,28,5,5,91,29,+62,89,91,17.3,62,2,58.4,86.8,13.6,6.87,8.5,16.1,7.7,10.3,2.3,6,7.4,10.4
Liverpool,38,24,10,4,86,41,+45,82,86,20.8,65,5,61.3,85.8,15.6,6.86,10.9,17.8,7.7,12.2,2.6,7.3,8.7,9.9
Aston Villa,38,20,8,10,76,61,+15,68,76,13.6,94,2,52.8,85.6,8.9,6.67,12,14.4,6.2,10.8,1.2,5,9.1,12.4
Tottenham,38,20,6,12,74,61,+13,66,74,15.4,89,4,62.0,87.4,9.7,6.72,12.8,19.1,9.3,11.2,2.2,5.7,9.4,13.4
Chelsea,38,18,9,11,77,63,+14,63,77,14.4,105,4,59.0,87.5,11.8,6.74,14.6,17.4,7.8,11.7,2.2,5.7,10.5,11.9
Newcastle,38,18,6,14,85,62,+23,60,85,14.5,77,1,52.2,82.7,12,6.78,14.1,17.4,7.5,10.2,1.6,5.6,9.3,12.3
Manchester United,38,18,6,14,57,58,-1,60,57,14.5,81,1,50.4,82.7,11.6,6.69,17.6,17.8,8.2,10.6,2.4,5.1,8.2,8.9
West Ham,38,14,10,14,60,74,-14,52,60,11.8,76,3,40.5,79.1,15.3,6.70,17.2,18,9.5,10.3,1.9,4.1,9.3,10.3
Crystal Palace,38,13,10,15,57,58,-1,49,57,12,69,2,41.6,79.2,14.8,6.71,12.1,20.7,8.5,12,1.9,4.4,9,11.2
Brighton,38,12,12,14,55,62,-7,48,55,14.8,91,3,60.2,89.0,10.8,6.57,12.3,16.9,7.6,10.9,2.2,5.5,7.8,11.9
Bournemouth,38,13,9,16,54,67,-13,48,54,14.3,79,3,44.0,77.1,15.7,6.62,14.1,18.2,9.4,13.3,1.5,4.9,10.1,9.9
Fulham,38,13,8,17,55,61,-6,47,55,13.2,78,4,50.3,82.5,13,6.61,13.8,17.9,9.8,10.1,1.3,4.7,7.1,9.6
Wolves,38,13,7,18,50,65,-15,46,50,11.3,100,4,48.6,82.4,11.8,6.61,15.2,19.4,7.5,12.5,2.1,4.2,10.9,10.7
Everton,38,13,9,16,40,51,-11,40,40,13.3,80,1,40.1,75.6,18.3,6.68,14.2,19.6,9.4,12,2.3,4.3,6.6,9.5
Brentford,38,10,9,19,56,65,-9,39,56,12.4,89,2,44.9,76.6,16.9,6.61,14.4,17.8,9.9,10.1,1.8,4.5,6.4,11
Nottingham Forest,38,9,9,20,49,67,-18,32,49,11.9,78,3,40.1,78.6,15.7,6.57,13.4,19.2,8.7,11.3,2,3.9,7.2,9.8
Luton,38,6,8,24,52,85,-33,26,52,11.4,71,0,41.8,76.1,17,6.54,17.4,17.2,8.6,11.7,1.8,3.7,9.3,11.8
Burnley,38,5,9,24,41,78,-37,24,41,11.4,71,7,46.9,79.5,15.2,6.47,16.2,16,7.4,11.3,2,3.7,7.9,9.3
Sheffield United,38,3,7,28,35,104,-69,16,35,9.6,95,5,35.0,72.3,15.9,6.36,17.8,18.7,9.2,11.1,1.7,3.4,6.6,8.4
