,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,14,9,63.2,36.8,89,84,10,9,14,5,21,10,3,6,5,11,3,2,6.56,6.78,Fulham,West Ham,3 , 0,5 , 0,14:00,"Sun, 10-Dec-23",2,7,Won (0%),Drew (33%),Won (67%),14,9,12,6,2,3,0,0,0,0,0,0,782,456,17,18,48,49,709,388
1,18,11,51.5,48.5,87,83,5,10,12,7,21,18,4,6,8,10,1,7,6.43,6.56,Arsenal,Aston Villa,0 , 0,0 , 2,16:30,"Sun, 14-Apr-24",10,6,Won (67%),Drew (0%),Won (33%),18,11,16,5,2,5,0,1,0,0,0,0,473,441,13,15,24,53,432,370
2,30,6,74.1,25.9,91,69,5,5,17,12,20,24,10,3,10,11,5,3,6.65,6.39,Arsenal,West Ham,0 , 1,0 , 2,20:15,"Thu, 28-Dec-23",13,10,Won (50%),Drew (33%),Won (17%),30,6,24,3,6,2,0,0,0,1,0,0,784,275,30,8,13,62,739,202
3,12,15,59.8,40.2,85,81,4,17,20,17,9,20,8,6,9,4,3,3,6.51,6.79,Brentford,Crystal Palace,1 , 0,1 , 1,15:00,"Sat, 26-Aug-23",6,5,Won (17%),Drew (83%),Won (0%),12,15,8,11,4,3,0,1,0,0,0,0,548,369,23,17,55,36,470,315
4,7,6,67.9,32.1,89,81,12,4,8,6,17,11,4,5,7,11,3,2,6.98,6.59,Manchester City,Fulham,2 , 1,5 , 1,15:00,"Sat, 02-Sep-23",17,3,Won (100%),Drew (0%),Won (0%),7,6,5,3,1,3,0,0,1,0,0,0,745,352,9,11,52,42,680,299
5,10,17,54.6,45.4,84,83,8,8,12,12,10,13,5,5,8,5,1,4,7.04,6.64,Fulham,Brentford,0 , 1,0 , 3,15:00,"Sat, 19-Aug-23",10,13,Won (50%),Drew (0%),Won (50%),10,17,6,5,4,11,0,0,0,1,0,0,495,414,16,15,53,47,425,348
6,8,24,26.4,73.6,62,86,3,11,23,19,19,9,2,15,7,14,7,0,6.16,,Sheffield United,Fulham,0 , 0,3 , 3,15:00,"Sat, 30-Mar-24",7,8,Won (33%),Drew (17%),Won (50%),8,24,4,12,4,12,0,0,0,0,0,0,230,637,10,41,60,47,160,546
7,25,10,71.5,28.5,90,74,8,8,13,11,17,22,9,4,15,8,9,9,6.42,6.15,Manchester United,Sheffield United,1 , 1,4 , 2,20:00,"Wed, 24-Apr-24",13,8,Won (67%),Drew (17%),Won (17%),25,10,16,5,8,4,0,1,1,0,0,0,760,304,23,7,56,51,679,245
8,17,23,46.6,53.4,77,80,6,6,15,9,19,29,4,11,14,9,5,11,6.28,6.6,Burnley,Newcastle,0 , 3,1 , 4,15:00,"Sat, 04-May-24",3,10,Won (17%),Drew (0%),Won (83%),17,23,15,15,2,5,0,2,0,1,0,0,441,506,16,20,63,41,361,445
9,29,12,60.8,39.2,83,74,14,18,21,12,21,22,13,4,16,13,10,5,6.71,6.44,Liverpool,Luton,0 , 1,4 , 1,19:30,"Wed, 21-Feb-24",12,5,Won (50%),Drew (50%),Won (0%),29,12,19,9,8,2,2,1,0,0,0,0,535,347,22,13,55,61,454,272
10,15,12,52.2,47.8,85,85,5,5,7,8,14,11,4,4,5,8,3,6,6.68,6.44,Fulham,Aston Villa,0 , 1,1 , 2,15:00,"Sat, 17-Feb-24",5,12,Won (17%),Drew (0%),Won (83%),15,12,11,5,3,5,1,2,0,0,0,0,484,447,32,10,45,47,400,388
11,25,13,69.4,30.6,93,82,14,18,7,5,18,15,8,6,9,9,14,3,6.56,6.43,Chelsea,West Ham,3 , 0,5 , 0,14:00,"Sun, 05-May-24",8,8,Won (50%),Drew (17%),Won (33%),25,13,16,7,5,5,4,1,0,0,0,0,760,335,13,16,27,41,718,276
12,13,16,45.4,54.6,74,76,7,10,20,19,16,23,4,6,14,7,6,8,6.04,6.58,Sheffield United,Everton,2 , 1,2 , 2,12:30,"Sat, 02-Sep-23",5,6,Won (33%),Drew (17%),Won (50%),14,16,8,8,5,6,0,2,0,0,1,0,408,492,14,24,67,62,327,405
13,6,17,34.4,65.6,79,90,3,3,13,13,12,17,6,5,5,9,1,1,6.3,6.73,Burnley,Manchester City,0 , 2,0 , 3,20:00,"Fri, 11-Aug-23",0,20,Won (0%),Drew (0%),Won (100%),6,17,5,9,1,7,0,1,0,0,0,0,380,727,7,15,54,61,319,644
14,25,9,70.8,29.2,87,67,5,16,24,14,22,14,9,3,5,13,7,5,6.63,6.38,Liverpool,Burnley,1 , 1,3 , 1,15:00,"Sat, 10-Feb-24",9,2,Won (67%),Drew (17%),Won (17%),25,9,14,6,10,3,1,0,0,0,0,0,708,293,33,9,52,69,620,214
15,6,18,23.9,76.1,73,91,2,3,9,11,14,12,2,6,7,7,11,8,6.25,6.77,Sheffield United,Tottenham,0 , 1,0 , 3,16:00,"Sun, 19-May-24",7,11,Won (33%),Drew (17%),Won (50%),6,18,3,11,1,5,2,2,0,0,0,0,232,718,6,15,50,34,176,665
16,14,16,31.6,68.4,66,88,7,9,14,14,22,17,10,6,12,11,4,10,6.59,6.53,Wolves,Chelsea,0 , 0,2 , 1,13:00,"Sun, 24-Dec-23",5,6,Won (33%),Drew (50%),Won (17%),14,16,7,14,6,2,1,0,0,0,0,0,293,627,19,21,51,52,223,553
17,3,23,31.9,68.1,76,88,9,12,5,2,12,15,0,6,8,7,2,4,6.31,7.23,Wolves,Manchester City,1 , 0,2 , 1,15:00,"Sat, 30-Sep-23",3,19,Won (0%),Drew (0%),Won (100%),4,23,2,13,0,10,1,0,0,0,1,0,292,620,6,21,56,21,230,574
18,6,21,52.6,47.4,76,75,13,8,16,18,19,25,4,9,16,11,11,6,6.59,6.52,Luton,Brentford,0 , 2,1 , 5,15:00,"Sat, 20-Apr-24",5,16,Won (33%),Drew (0%),Won (67%),6,21,5,10,1,7,0,4,0,0,0,0,414,373,19,24,56,55,339,290
19,6,18,40.9,59.1,79,85,9,5,16,25,17,11,1,11,6,10,2,7,6.45,6.48,Nottingham Forest,Brentford,0 , 0,1 , 1,14:00,"Sun, 01-Oct-23",7,8,Won (33%),Drew (33%),Won (33%),6,18,4,9,2,8,0,1,0,0,0,0,424,612,12,29,58,46,353,534
20,20,16,52.4,47.6,86,83,9,5,16,16,16,14,7,4,13,12,1,8,6.13,6.08,West Ham,Sheffield United,2 , 0,2 , 0,15:00,"Sat, 30-Sep-23",6,6,Won (33%),Drew (17%),Won (50%),20,16,12,11,7,5,1,0,0,0,0,0,516,470,19,17,51,43,443,407
21,11,7,48.6,51.4,72,73,7,10,20,24,14,24,9,8,6,6,5,3,6.53,6.53,Bournemouth,Everton,0 , 0,2 , 1,15:00,"Sat, 30-Mar-24",13,7,Won (67%),Drew (0%),Won (33%),12,7,9,6,2,1,0,0,0,0,1,0,394,420,26,23,74,62,294,335
22,36,4,67.4,32.6,91,76,5,15,14,4,22,23,10,2,9,11,4,3,6.72,6.63,Liverpool,Wolves,2 , 0,2 , 0,16:00,"Sun, 19-May-24",11,7,Won (67%),Drew (17%),Won (17%),36,4,24,1,10,1,2,2,0,0,0,0,650,315,25,5,37,54,588,254
23,12,14,37.5,62.5,68,81,7,9,18,16,14,16,5,4,6,11,11,10,6.12,6.53,Sheffield United,Manchester United,1 , 1,1 , 2,20:00,"Sat, 21-Oct-23",7,13,Won (17%),Drew (17%),Won (67%),12,14,10,9,1,4,0,1,1,0,0,0,352,586,15,21,72,62,264,501
24,16,21,53.1,46.9,87,85,13,10,11,6,25,20,4,5,10,13,4,6,6.6,6.41,Wolves,Manchester United,0 , 2,3 , 4,20:15,"Thu, 01-Feb-24",2,7,Won (17%),Drew (0%),Won (83%),16,21,7,12,7,8,1,1,1,0,0,0,534,472,20,12,37,40,476,420
25,7,10,50.6,49.4,81,83,15,7,14,17,14,27,3,2,15,9,5,3,6.8,6.64,Crystal Palace,Fulham,0 , 0,0 , 0,15:00,"Sat, 23-Sep-23",8,6,Won (50%),Drew (33%),Won (17%),7,10,4,8,3,2,0,0,0,0,0,0,501,487,15,18,61,53,424,415
26,18,14,48.6,51.4,69,72,9,8,35,26,14,15,7,6,9,6,6,6,6.69,6.25,Luton,Burnley,0 , 1,1 , 2,19:30,"Tue, 03-Oct-23",4,8,Won (0%),Drew (50%),Won (50%),18,14,10,9,8,5,0,0,0,0,0,0,408,431,31,13,90,82,287,335
27,13,11,47.9,52.1,74,76,9,9,18,20,14,17,3,8,11,7,7,6,6.56,6.5,Bournemouth,Brentford,0 , 0,1 , 2,15:00,"Sat, 11-May-24",4,8,Won (17%),Drew (33%),Won (50%),13,11,11,9,1,2,1,0,0,0,0,0,380,413,11,20,64,59,304,329
28,21,8,49.5,50.5,79,79,6,11,18,15,19,14,8,6,13,11,6,10,6.84,6.47,Crystal Palace,Luton,1 , 0,1 , 1,15:00,"Sat, 09-Mar-24",5,9,Won (20%),Drew (0%),Won (80%),21,8,14,4,6,4,1,0,0,0,0,0,460,470,21,32,73,65,365,373
29,27,7,44.2,55.8,88,88,6,8,12,12,22,13,4,2,7,15,1,9,6.43,6.62,Arsenal,Chelsea,1 , 0,5 , 0,20:00,"Tue, 23-Apr-24",14,7,Won (67%),Drew (17%),Won (17%),27,7,22,3,4,3,1,1,0,0,0,0,515,647,11,15,32,30,466,602
30,11,13,48.3,51.7,88,87,11,8,8,11,16,24,5,4,15,7,6,5,6.6,6.81,Aston Villa,Wolves,1 , 0,2 , 0,17:30,"Sat, 30-Mar-24",5,8,Won (0%),Drew (50%),Won (50%),11,13,6,9,4,4,1,0,0,0,0,0,433,465,16,15,38,45,377,403
